,protocol,number of @,number of //,number of /,number of .,number of -,number of random characters,length of url,length of host name,length of query component,number of third level domains,existence of ip,existence of shady TLD,label
144,0,0,0,0,0,0,0,10,0,0,0,0,0,0
145,0,0,0,0,0,0,0,10,0,0,0,0,0,0
146,0,0,0,0,0,0,0,9,0,0,0,0,0,0
147,0,0,0,0,0,0,0,13,0,0,0,0,0,0
148,0,0,0,0,0,0,0,25,0,0,0,0,0,0
149,0,0,0,0,0,0,0,16,0,0,1,0,0,1
150,0,0,0,0,0,0,0,11,0,0,0,0,0,0
151,0,0,0,0,0,0,0,18,0,0,0,0,0,0
152,0,0,0,0,0,0,0,20,0,0,0,0,0,0
153,1,0,0,2,2,0,0,45,22,0,1,0,0,1
154,0,0,0,0,0,0,0,18,0,0,0,0,0,0
155,0,0,0,0,1,0,0,17,9,0,0,0,0,0
156,0,0,0,0,0,0,0,13,0,0,0,0,0,0
157,0,0,0,0,0,0,0,20,0,0,0,0,0,0
158,0,0,0,0,0,0,0,20,0,0,0,0,0,0
159,1,0,0,10,2,0,0,131,14,0,1,0,0,1
160,0,0,0,0,0,0,0,9,0,0,0,0,0,0
161,0,0,0,0,0,0,0,25,0,0,0,0,0,0
162,1,0,0,3,3,0,0,63,23,0,1,0,0,1
163,0,0,0,0,0,0,0,12,0,0,0,0,0,0
164,0,0,0,0,0,0,0,21,0,0,0,0,0,0
165,0,0,0,0,1,0,0,23,15,0,0,0,0,0
166,0,0,0,0,2,0,0,25,17,0,1,0,0,0
167,0,0,0,0,0,0,0,10,0,0,0,0,0,0
168,1,0,1,3,2,0,1,49,21,0,1,0,0,1
169,0,0,0,1,2,0,19,141,14,111,1,0,0,0
170,0,0,0,0,0,0,0,19,0,0,0,0,0,0
171,1,0,0,3,3,0,0,41,22,0,1,0,0,1
172,0,0,0,0,0,0,0,20,0,0,0,0,0,0
173,0,0,0,0,0,0,0,18,0,0,0,0,0,0
174,0,0,0,0,0,0,0,15,0,0,0,0,0,0
175,0,0,0,0,0,0,0,28,0,0,0,0,0,0
176,0,0,0,0,0,0,0,21,0,0,0,0,0,0
177,0,0,0,0,0,0,0,12,0,0,0,0,0,0
178,1,0,0,5,2,0,0,63,18,0,1,0,0,1
179,0,0,0,0,0,0,0,21,0,0,0,0,0,0
180,0,0,0,0,0,0,0,19,0,0,0,0,0,0
181,0,0,0,1,3,0,3,37,17,10,1,0,0,0
182,0,0,0,0,0,0,0,9,0,0,0,0,0,0
183,0,0,0,0,0,0,0,16,0,0,0,0,0,0
184,1,0,0,10,2,0,0,133,14,0,1,0,0,1
185,1,0,0,6,2,0,0,51,13,0,0,0,0,1
186,0,0,0,0,0,0,0,12,0,0,0,0,0,0
187,0,0,0,0,0,0,0,23,0,0,0,0,0,0
188,0,0,0,0,0,0,0,13,0,0,0,0,0,0
189,0,0,0,0,0,0,0,19,0,0,0,0,0,0
190,0,0,0,0,0,0,0,17,0,0,0,0,0,0
191,0,0,0,0,0,0,0,15,0,0,0,0,0,0
192,0,0,0,0,0,0,0,16,0,0,1,0,0,1
193,0,0,0,1,2,0,19,140,14,110,1,0,0,0
194,1,0,0,6,2,0,3,167,22,0,1,0,0,1
195,0,0,0,0,0,0,0,15,0,0,0,0,0,0
196,1,0,0,6,1,0,0,75,16,0,0,0,0,1
197,1,0,0,2,1,0,2,54,21,8,0,0,0,1
198,1,0,0,2,1,0,0,50,20,0,0,0,0,1
199,1,0,0,5,2,0,0,80,22,0,1,0,0,1
200,0,0,0,1,2,0,19,141,14,111,1,0,0,0
201,0,0,0,0,0,0,0,24,0,0,0,0,0,0
202,0,0,0,0,0,0,0,11,0,0,0,0,0,0
203,0,0,0,0,0,0,0,13,0,0,0,0,0,0
204,0,0,0,0,0,0,0,13,0,0,0,0,0,0
205,1,0,0,5,1,0,0,72,17,0,0,0,0,1
206,1,0,0,4,1,3,0,55,27,0,0,0,0,1
207,1,0,0,10,2,0,0,131,14,0,1,0,0,1
208,0,0,0,0,0,0,0,7,0,0,0,0,0,0
209,1,0,0,2,2,1,0,30,10,0,1,0,0,1
210,0,0,0,0,0,0,0,12,0,0,0,0,0,0
211,0,0,0,0,0,0,0,9,0,0,0,0,0,0
212,0,0,0,0,0,0,0,12,0,0,0,0,0,0
213,0,0,0,0,0,0,0,11,0,0,0,0,0,0
214,0,0,0,0,0,0,0,14,0,0,0,0,0,0
215,0,0,0,0,0,0,0,16,0,0,0,0,0,0
216,0,0,0,0,0,0,0,14,0,0,0,0,0,0
217,0,0,0,0,0,0,0,8,0,0,0,0,0,0
218,1,0,0,5,2,0,20,193,20,115,0,0,0,1
219,0,0,0,0,0,0,0,6,0,0,0,0,0,0
220,1,0,0,2,10,2,0,379,138,0,9,0,0,1
221,0,0,0,0,0,0,0,16,0,0,0,0,0,0
222,0,0,0,1,2,0,10,109,14,79,1,0,0,0
223,0,0,0,0,0,0,0,14,0,0,0,0,0,0
224,0,0,0,0,0,0,0,10,0,0,0,0,0,0
225,0,0,0,0,0,0,0,17,0,0,0,0,0,0
226,0,0,0,0,0,0,0,17,0,0,0,0,0,0
